#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,,,,2023-08-15T04:16:44Z,4,counter,boltdb_reads_total
,,,,,2023-08-15T04:16:46Z,6,counter,boltdb_reads_total
,,,,,2023-08-15T04:16:48Z,8,counter,boltdb_reads_total
,,,,,2023-08-15T04:16:50Z,10,counter,boltdb_reads_total
,,,,,2023-08-15T04:16:52Z,12,counter,boltdb_reads_total
,,,,,2023-08-15T04:16:54Z,14,counter,boltdb_reads_total
,,,,,2023-08-15T04:16:56Z,16,counter,boltdb_reads_total
,,,,,2023-08-15T04:16:58Z,18,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:00Z,20,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:02Z,22,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:04Z,24,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:06Z,26,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:08Z,28,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:10Z,30,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:12Z,1,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:14Z,3,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:16Z,5,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:18Z,7,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:20Z,9,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:22Z,11,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:24Z,13,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:26Z,15,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:28Z,17,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:30Z,19,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:32Z,21,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:34Z,23,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:36Z,25,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:38Z,27,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:40Z,29,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:42Z,0,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:44Z,2,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:46Z,4,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:48Z,6,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:50Z,8,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:52Z,10,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:54Z,12,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:57Z,15,counter,boltdb_reads_total
,,,,,2023-08-15T04:17:59Z,17,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:01Z,19,counter,boltdb_reads_total
